"P151","17 CETOESTEROIDES","La recolección de la orina de 24 horas se realiza eliminando la primera orina de la mañana del día en que comienza la recolección, luego se recolecta toda la orina emitida durante el día hasta la primera orina de la mañana del día siguiente.","El paciente debe llenar los datos en la etiqueta de la galonera: nombre completo, edad, fecha y hora de recolección de la muestra.","Está disponible en 4 días a partir de las 5 pm (no contar sábados, domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","El analito es estable de 2 - 8 °C hasta 24 horas. Si se ajusta el pH entre 3 - 6 con Ácido Clorhídrico concentrado (HCl) se puede conservar más tiempo: de 2 - 8 °C por 15 días.","GALONERA","ORINA 24 HORAS","20 mL. Indicar en el frasco el volumen total de orina de 24 horas.","MARTES Y JUEVES : 8.00 am.","INMUNOLOGIA"
"P152","17 HIDROXICORTICOIDES","La recolección de la orina de 24 horas se realiza eliminando la primera orina de la mañana del día en que comienza la recolección, luego se recolecta toda la orina emitida durante el día hasta la primera orina de la mañana del día siguiente.","El paciente debe llenar los datos en la etiqueta de la galonera: nombre completo, edad, fecha y hora de recolección de la muestra.","Está disponible en 3 días a partir de las 5 pm (no contar sábados, domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","El analito es estable de 2 - 8 °C hasta 24 horas. Si se ajusta el pH entre 3 - 6 con Ácido Clorhídrico concentrado (HCl) se puede conservar de 2 - 8 °C por 7 días.","GALONERA","ORINA 24 HORAS","20 mL. Indicar en el frasco el volumen total de orina de 24 horas.","LUNES A VIERNES : 8.00 am.","INMUNOLOGIA"
"P176","17 HIDROXIPROGESTERONA","Se recomienda 8 horas de ayuno.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra de sangre, dejar coagular 30 minutos y centrifugar antes de las 2 horas.","Está disponible MARTES - JUEVES Y SABADOS a partir de las 5.30 pm.","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","El analito es estable de 2 - 8°C por 5 días, si no se procesa en ese tiempo congelar la muestra a -20°C.","TUBO ROJO","SUERO","0.2 mL","MARTES - JUEVES Y SABADOS : 10 am.","INMUNOLOGIA MANUAL"
"O310","5 HIDROXIINDOLACETICO-5HIAA","No debe consumir los siguientes alimentos y medicamentos: plátanos, piña, berenjena, palta, ciruela, tomates, nueces, chocolates, panadol y apronax. Debe evitarlos 1 día antes y  todo el tiempo que dura la recolección porque pueden alterar el resultado. La recolección de la orina de 24 horas se realiza eliminando la primera orina de la mañana del día en que comienza la recolección, luego se recolecta toda la orina emitida durante el día hasta la primera orina de la mañana del día siguiente.","El paciente debe llenar los datos en la etiqueta de la galonera: nombre completo, edad, fecha y hora de recolección de la muestra.","Está disponible MARTES Y JUEVES a partir de las 5.30 pm.","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","PROCESAR DE INMEDIATO. El analito es estable de 2 - 8 °C hasta 24 horas. Si se ajusta el pH entre 3 - 6 con Ácido Clorhídrico concentrado (HCl) se puede conservar más tiempo: de 2 - 8 °C por 15 días.","GALONERA","ORINA 24 HORAS","20 mL. Indicar en el frasco el volumen total de orina de 24 horas.","MARTES Y JUEVES : 10 am.","INMUNOLOGIA MANUAL"
"B154","5' NUCLEOTIDASA","Se recomienda 8 horas de ayuno.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra de sangre, dejar coagular 30 minutos y centrifugar antes de las 2 horas.","Está disponible en 4 días a partir de las 5 pm (no contar sábados, domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","La muestra es estable de 2 - 8 °C por 7 días.","TUBO ROJO","SUERO","1 mL","LUNES A VIERNES : 8.00 am.","INMUNOLOGIA"
"A285","A.P.A. ANTI POLIMERO ANTICUERPOS","Se recomienda 8 horas de ayuno.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra de sangre, dejar coagular 30 minutos y centrifugar antes de las 2 horas.","Está disponible en 7 días a partir de las 5 pm (no contar sábados, domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","La muestra es estable de 2 - 8 °C por 7 días.","TUBO ROJO","SUERO","1 mL","LUNES A VIERNES : 8.00 am.","INMUNOLOGIA"
"D201","AC. FOLICO","Se recomienda 8 horas de ayuno.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra de sangre, dejar coagular 30 minutos y centrifugar antes de las 2 horas.  PROTEGER LA MUESTRA DE LA LUZ, DESDE LA TOMA DE MUESTRA HASTA SU PROCESO. NO HEMÓLISIS.","Está disponible el mismo día a partir de las 5 pm (no contar domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","El analito es estable a temperatura ambiente por 2 horas y de 2 - 8 °C por 2 días, si no se procesa en ese tiempo congelar la muestra a -20°C por 1 mes (congelar una sola vez).","TUBO ROJO","SUERO","1 mL","LUNES A SABADO : 24 horas.","INMUNOLOGIA"
"D2011","AC. FOLICO INTRAERITROCITARIO","Se recomienda 8 horas de ayuno.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra en tubo lila. PROTEGER LA MUESTRA DE LA LUZ, DESDE LA TOMA DE MUESTRA HASTA SU PROCESO. NO HEMÓLISIS.","Está disponible al día siguiente a partir de las 9 am (no contar domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C (no pegar el tubo lila al hielo).","El analito es estable a temperatura ambiente por 2 horas y de 2 - 8 °C por 2 días.","TUBO LILA (EDTA)","SANGRE CON EDTA","2 mL","LUNES A SABADO : 9.00 pm.","INMUNOLOGIA"
"B208","AC. HOMOVALINICO ORINA 24 HRS","No consumir alcohol durante toda la recolección de la orina. La recolección de la orina de 24 horas se realiza eliminando la primera orina de la mañana del día en que comienza la recolección, luego se recolecta toda la orina emitida durante el día hasta la primera orina de la mañana del día siguiente.","El paciente debe llenar los datos en la etiqueta de la galonera: nombre completo, edad, fecha y hora de recolección de la muestra.","Está disponible en 4 días a partir de las 5 pm (no contar sábados, domingos y feriados).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C.","PROCESAR DE INMEDIATO. El analito es estable de 2 - 8 °C hasta 24 horas. Si se ajusta el pH entre 3 - 6 con Ácido Clorhídrico concentrado (HCl) se puede conservar más tiempo: de 2 - 8 °C por 15 días.","GALONERA","ORINA 24 HORAS","20 mL. Indicar en el frasco el volumen total de orina de 24 horas.","MARTES Y JUEVES : 8.00 am.",""
"B216","AC. LACTICO (LACTATO)","Salvo situación de emergencia se recomienda 8 horas de ayuno. No realizar ejercicio intenso algunas horas antes de la extracción de la sangre. TENER UN REPOSO DE 2 HORAS COMO MÍNIMO.","El analista debe identificar el tubo con el nombre completo del paciente. Tomar la muestra en tubo verde con heparina de litio y procesar de inmediato. De no ser posible centrifugar la muestra y separar el plasma.","Está disponible todos los días en 4 horas (sede de proceso: SAN PABLO).","Se reciben muestras de forma diaria las 24 horas del día.","Transportar la muestra bajo cadena de frío : de 2 - 8 °C (no colocar el tubo verde directo al hielo).","PROCESAR DE INMEDIATO. El analito es estable: SANGRE TOTAL: a temperatura ambiente por 3 horas. PLASMA: de 2 - 8 °C por 24 horas.","TUBO VERDE (HEPARINA DE LITIO)","PLASMA CON HEPARINA","1 mL","DIARIO : 24 horas.","BIOQUIMICA"
